disease_en,disease_en_clean,disease_th,icd10_chapter,icd10_chapter_name,icd10_code,primary_specialty,secondary_specialty,urgency_level,red_flags
Fungal infection,Fungal infection,การติดเชื้อรา,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,B35,ผิวหนัง (Dermatology),โรคติดเชื้อ (ID),5,ผื่นลามเร็ว · มีไข้สูง · ในผู้ภูมิคุ้มกันต่ำ
Allergy,Allergy,ภูมิแพ้,XIX,การบาดเจ็บ พิษ และเหตุภายนอก,T78.4,อายุรกรรมภูมิแพ้ (Allergy/Immunology),เวชศาสตร์ทั่วไป (GP),4,หายใจไม่ออก · บวมหน้า/ปาก/ลิ้น · ความดันต่ำ (anaphylaxis → 1)
GERD,GERD,กรดไหลย้อน,XI,โรคระบบทางเดินอาหาร,K21,อายุรกรรมทางเดินอาหาร (GI),เวชศาสตร์ทั่วไป (GP),5,เจ็บหน้าอกร้าวไปแขน (อาจเป็นหัวใจ) · อาเจียนเป็นเลือด · น้ำหนักลดเร็ว
Chronic cholestasis,Chronic cholestasis,ภาวะคั่งน้ำดีเรื้อรัง,XI,โรคระบบทางเดินอาหาร,K83.1,อายุรกรรม GI/ตับ (Hepatology),ศัลยกรรม (Surgery),3,ตัวเหลืองมาก · มีไข้ · ปวดท้องบนขวารุนแรง
Drug Reaction,Drug Reaction,ปฏิกิริยาแพ้ยา,XIX,การบาดเจ็บ พิษ และเหตุภายนอก,T88.7,ห้องฉุกเฉิน (ER),อายุรกรรมภูมิแพ้,2,หายใจไม่ออก · ผื่นลามทั้งตัว · มีไข้สูง · ผิว/เยื่อบุลอก (SJS/TEN)
Peptic ulcer diseae,Peptic ulcer disease,แผลในกระเพาะอาหาร/ลำไส้,XI,โรคระบบทางเดินอาหาร,K27,อายุรกรรมทางเดินอาหาร (GI),เวชศาสตร์ทั่วไป (GP),4,อาเจียนเป็นเลือด · ถ่ายดำ · ปวดท้องเฉียบพลันรุนแรง (perforation)
AIDS,HIV/AIDS,เอดส์ (HIV/AIDS),I,โรคติดเชื้อและปรสิต,B24,โรคติดเชื้อ (ID),อายุรกรรมทั่วไป (Internal Medicine),3,ไข้สูง > 38.5 · ระดับสติเปลี่ยน · opportunistic infection
Diabetes ,Diabetes mellitus,เบาหวาน,IV,โรคต่อมไร้ท่อ โภชนาการ และเมตาบอลิซึม,E11,อายุรกรรมต่อมไร้ท่อ (Endocrinology),เวชศาสตร์ทั่วไป (GP),4,ระดับสติลดลง · ลมหายใจกลิ่นผลไม้ (DKA) · น้ำตาลต่ำ/สูงมาก
Gastroenteritis,Gastroenteritis,ลำไส้อักเสบ,I,โรคติดเชื้อและปรสิต,A09,อายุรกรรมทั่วไป (Internal Medicine),ทางเดินอาหาร (GI),4,ถ่ายเป็นเลือด · ขาดน้ำมาก · อาเจียนหยุดไม่ได้ · ในเด็ก/ผู้สูงอายุ
Bronchial Asthma,Bronchial Asthma,หอบหืด,X,โรคระบบทางเดินหายใจ,J45,อายุรกรรมโรคปอด (Pulmonology),เวชศาสตร์ทั่วไป (GP),3,หายใจไม่ออก · พูดได้แค่คำสั้นๆ · ริมฝีปากเขียว · sat O₂ < 92%
Hypertension ,Hypertension,ความดันโลหิตสูง,IX,โรคระบบไหลเวียนโลหิต,I10,อายุรกรรมหัวใจ (Cardiology),เวชศาสตร์ทั่วไป (GP),4,ปวดหัวรุนแรง · ตามัว · BP > 180/120 · เจ็บหน้าอก
Migraine,Migraine,ไมเกรน,VI,โรคระบบประสาท,G43,อายุรกรรมประสาท (Neurology),เวชศาสตร์ทั่วไป (GP),4,ปวดหัวรุนแรงที่สุดในชีวิต · อ่อนแรงข้างเดียว · สับสน
Cervical spondylosis,Cervical spondylosis,หมอนรองกระดูกคอเสื่อม,XIII,โรคระบบกล้ามเนื้อ กระดูก และเนื้อเยื่อเกี่ยวพัน,M47.2,ออร์โธปิดิกส์ (Orthopedics),อายุรกรรมประสาท (Neurology),4,อ่อนแรงแขน/ขาทันที · ปัสสาวะ/อุจจาระไม่ออก · กลั้นไม่ได้
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),อัมพาต (เลือดออกในสมอง),IX,โรคระบบไหลเวียนโลหิต,I61,ห้องฉุกเฉิน (ER),อายุรกรรมประสาท (Neurology),1,ปากเบี้ยว · แขน-ขาอ่อนแรง · พูดไม่ชัด (FAST) · ระดับสติลดลง
Jaundice,Jaundice,ดีซ่าน,XVIII,อาการ และผลการตรวจที่ผิดปกติ,R17,อายุรกรรม GI/ตับ (Hepatology),เวชศาสตร์ทั่วไป (GP),3,สับสน/ระดับสติเปลี่ยน · ถ่ายดำ · ไข้สูง · ปวดท้องบนขวารุนแรง
Malaria,Malaria,มาลาเรีย (ไข้จับสั่น),I,โรคติดเชื้อและปรสิต,B54,โรคติดเชื้อ (ID),อายุรกรรมทั่วไป,2,ระดับสติลดลง (cerebral) · ปัสสาวะสีดำ · ไข้สูง > 39 · มาจากพื้นที่ระบาด
Chicken pox,Chicken pox (Varicella),อีสุกอีใส,I,โรคติดเชื้อและปรสิต,B01,เวชศาสตร์ทั่วไป (GP),ผิวหนัง (Dermatology),5,ไข้สูง > 39 · ปอดอักเสบ · ในผู้ใหญ่/หญิงตั้งครรภ์/ภูมิคุ้มกันต่ำ
