symptom_en,symptom_th,symptom_th_alt,symptom_dialect,body_system,ui_label,is_user_facing
itching,คัน,"คันยุบยิบ, เกาผิว, คันมาก, คันสุดๆ, คันยิก, คันจัด, คันทั้งตัว","คันยึบ, คันยิบๆ, คันคาย",ผิวหนัง,คัน (itching),True
skin_rash,ผื่นที่ผิวหนัง,"ผื่นแดง, ผด, ผื่น, ตัวแดง, ผื่นขึ้น, กาก, กากขึ้น","เป็นผด, ตุ่มแดงขึ้น, ผดขึ้นทั้งโต",ผิวหนัง,ผื่น (skin rash),True
nodal_skin_eruptions,ผื่นเป็นปุ่ม,"ตุ่มแข็งใต้ผิว, ปม, ตุ่มแข็ง, ก้อนใต้ผิว, ปุ่มเล็ก","ตุ่มแข็งใต้หนัง, ปุ่มใต้ผิว, ตุ่มเป็นเม็ด",ผิวหนัง,ผื่นเป็นปุ่ม (nodal eruption),True
continuous_sneezing,จามต่อเนื่อง,"จามไม่หยุด, จาม, จามทั้งวัน, จามรัวๆ","จามบ่เซา, จามบ่เลิก",หู คอ จมูก,จามต่อเนื่อง (sneezing),True
shivering,ตัวสั่น,"ไหวสั่น, ตัวสั่น, ตัวสั่นเทา, สั่นไม่หยุด, สั่นงั่ก","ตัวสั่นเทิ้ม, สั่นงันงก",ทั่วไป,ตัวสั่น (shivering),True
chills,หนาวสั่น,"หนาวๆ ร้อนๆ, หนาวจัด, หนาวสั่นเทา, หนาวจนตัวสั่น","จับสั่น, ขนลุกหนาว",ทั่วไป,หนาวสั่น (chills),True
joint_pain,ปวดข้อ,"ข้อปวด, ข้อเมื่อย, ปวดข้อ, ปวดตามข้อ, ข้อแข็ง","เจ็บข้อ, ปวดข้อต่อ",กล้ามเนื้อและข้อ,ปวดข้อ (joint pain),True
stomach_pain,ปวดท้อง (กระเพาะ),"ปวดกระเพาะ, จุก, ปวดท้องบน, จุกใต้ลิ้นปี่, ปวดบิดๆ","เจ็บท้อง, เจ็บต๊อง, ปวดพุง, เจ็บพุง",ทางเดินอาหาร,ปวดท้อง (stomach pain),True
acidity,แสบกลางอก / กรดไหลย้อน,"เรอเปรี้ยว, แสบหน้าอก, รู้สึกกรดดันขึ้นมา, กรดไหลย้อน, แสบยอดอก","แสบอก, จุกอก, เปรี้ยวปาก",ทางเดินอาหาร,แสบกลางอก (acidity),True
ulcers_on_tongue,แผลในลิ้น,"ลิ้นเป็นแผล, แผลร้อนใน, ร้อนใน, แผลในปาก, ลิ้นเป็นแผลขาว","ลิ้นเป็นแผล, แผลในปาก, ลิ้นพอง",หู คอ จมูก,แผลในลิ้น (tongue ulcers),True
muscle_wasting,กล้ามเนื้อลีบ,"กล้ามเนื้อหายไป, กล้ามเนื้อลีบ, กล้ามเนื้อฝ่อ, แขนขาเล็ก","เนื้อลีบ, กล้ามฝ่อ, แขนขาลีบ",กล้ามเนื้อและข้อ,กล้ามเนื้อลีบ (muscle wasting),True
vomiting,อาเจียน,"อ้วก, คลื่นไส้อาเจียน, อ้วกแตก, อาเจียนเป็นน้ำ, อาเจียนรอบที่สอง","ฮาก, ฮากออก, แหวะ, ขย้อน",ทางเดินอาหาร,อาเจียน (vomiting),True
burning_micturition,แสบเวลาปัสสาวะ,"แสบฉี่, ปวดแสบฉี่, แสบเวลาฉี่, ฉี่แล้วเจ็บ","แสบเยี่ยว, เยี่ยวแสบ, ฉี่แสบ",ทางเดินปัสสาวะ,แสบฉี่ (burning urination),True
spotting_ urination,ปัสสาวะมีเลือดปน,"ฉี่มีเลือด, เลือดปนในปัสสาวะ, ฉี่เป็นเลือด, ฉี่ออกเลือด","เยี่ยวมีเลือด, ฉี่ปนเลือด, เยี่ยวเป็นเลือด",ทางเดินปัสสาวะ,ฉี่มีเลือดปน (spotting urination),True
fatigue,อ่อนเพลีย,"เหนื่อยล้า, หมดแรง, อ่อนเพลีย, เพลีย, ลุกไม่ไหว, ไม่มีแรง, เหนื่อย, เหนื่อยง่าย, เหนื่อยเร็ว, เพลียง่าย, ไม่ค่อยมีแรง, แรงหมด","บ่มีแฮง, หมดแฮง, อิดเมื่อย, ล้า",ทั่วไป,อ่อนเพลีย (fatigue),True
